"Field";"freqRatio";"percentUnique";"zeroVar";"nzv";"className";"isSymbolic";"isNumeric";"nDistinct";"nNA";"isDate";"isBoolean";"Overlap";"ksTest";"AUCVal";"AUCDev";"Binning";"BinParam";"FinalName"
"VAR_0003";"5.26751592356688";"2.475";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"495";"0";"FALSE";"FALSE";"0.867562380038388";"0.083984375";"0.565324156905836";"0.55473820270367";"numbin";"30";"VAR_0003_numbin"
"VAR_0004";"1.05660377358491";"21.35";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"4270";"0";"FALSE";"FALSE";"0.54268624252311";"0.04296875";"0.57981205127025";"0.577229508746124";"numbin";"50";"VAR_0004_numbin"
"VAR_0014";"3.17373366949347";"0.12";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"24";"6";"FALSE";"FALSE";"0.533333333333333";"0.17578125";"0.625950387710694";"0.623224684088339";"none";NA;"VAR_0014"
"VAR_0073";"436.15625";"5.47";"FALSE";"TRUE";"character";"TRUE";"FALSE";"1094";"0";"TRUE";"FALSE";"0.708730158730159";NA;NA;NA;NA;NA;NA
"VAR_0176";"1258.78571428571";"5.665";"FALSE";"TRUE";"character";"TRUE";"FALSE";"1133";"0";"TRUE";"FALSE";"0.458360232408005";NA;NA;NA;NA;NA;NA
"VAR_0200";"1.7396449704142";"25.155";"FALSE";"FALSE";"character";"TRUE";"FALSE";"5031";"0";"FALSE";"FALSE";"0.434066713981547";NA;"0.51363681798831";"0.581179619954213";"symbin";"10";"VAR_0200_symbin"
"VAR_0212";"1.5";"90.985";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"18197";"1726";"FALSE";"FALSE";"0.00397285217679192";"0.02734375";"0.551366432425902";"0.542763374220124";"numbin";"8";"VAR_0212_numbin"
"VAR_0274";"1.35470085470085";"0.285";"FALSE";"FALSE";"character";"TRUE";"FALSE";"57";"0";"FALSE";"FALSE";"0.982758620689655";NA;"0.538814044665869";"0.556077526073999";"symbin";"160";"VAR_0274_symbin"
"VAR_0342";"1.45379594641017";"0.245";"FALSE";"FALSE";"character";"TRUE";"FALSE";"49";"0";"FALSE";"FALSE";"0.941176470588235";NA;"0.541572941596097";"0.53717236176862";"symbin";"80";"VAR_0342_symbin"
"VAR_0404";"59.0360655737705";"1.965";"FALSE";"TRUE";"character";"TRUE";"FALSE";"393";"0";"FALSE";"FALSE";"0.173728813559322";NA;"0.505594919286175";"0.506292967832573";"symbin";"160";"VAR_0404_symbin"
